Portal,Latitude,Longitude,Discovered
13a. Igreja Do Evangelho Quadrangular,-25.524709,-49.2018,rsfrantz (Res)
Igreja Assembleia De Deus,-25.670674,-49.316832,CleyErz (Res)
Igreja Pentecostal Unida Do Brasil,-25.607274,-49.389106,wellsheldon (Res)
Mural Arara Azul,-25.475807,-49.337194,Julius0War0 (Res)
Parquinho Vila Romana,-26.4607,-49.113322,S0matropina (Res)
comunidade Santa clara,-26.461234,-49.115525,S0matropina (Res)
Igreja Nações Para Cristo,-26.463769,-49.116516,S0matropina (Res)
Igreja Universal ,-25.475648,-49.336804,Julius0War0 (Res)
Parquinho Do Rau,-26.457362,-49.115757,S0matropina (Res)
igreja pentecostal Deus e amor,-26.463407,-49.117062,WDenis (Enl)
Igreja Assembléia De Deus,-26.46467,-49.116569,PowManot (Enl)
Bloco Das Bicicletinhas,-26.292316,-48.845679,AHezir (Res)
Elefante Don Maximiliano,-26.292647,-48.847221,Demoraes (Res)
Cancha De Futebol Do Barigui,-25.415417,-49.303833,Hydraulinski (Enl)
Parque Infantil ,-25.41994,-49.307358,ClaudioCacaBR (Res)
Centro Universitário UniCesumar,-26.489991,-49.083027,S0matropina (Res)
Igreja Do Evangelho Quadrangular,-26.495792,-49.116038,S0matropina (Res)
Faculdade ANHANGUERA,-26.486315,-49.061496,PowManot (Enl)
Igreja Assembléia De Deus ,-26.48088,-49.063144,PowManot (Enl)
Caixa D'água Grupo Malwee,-26.478749,-49.102326,LauraPaula (Enl)
Praça  Das Águas Carinhoso,-26.478774,-49.100832,WDenis (Enl)
Praça Professora Rosa Kolody,-25.455078,-49.285173,kbloman (Enl) 
Homenagem A Nossa Senhora,-26.513035,-49.121767,PowManot (Enl) 
Stika Véio,-25.458674,-49.298753,Irethor (Enl) 
Pinhão Gigante,-25.603461,-49.389392,wellsheldon (Res) 
Roda D’água Santpar,-25.981277,-48.885994,MutiNeeR79 (Enl) 
Gato Rei,-26.304302,-48.859669,Demoraes (Res) 
